Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,ASR (World),Crude rate,Cumulative risk,Total
Prostate,27,218,N.A.,0,12.2,15.04,,1362
Breast,20,218,N.A.,0,11.16,12.74,,1154
Stomach,7,218,N.A.,0,10.15,12.11,,2194
Cervix uteri,23,218,N.A.,0,8.87,10.37,,939
Colorectum,41,218,N.A.,0,5.97,7.08,,1283
"Trachea, bronchus and lung",15,218,N.A.,0,5.29,6.32,,1145
Liver and intrahepatic bile ducts,11,218,N.A.,0,4.68,5.55,,1005
Leukaemia,36,218,N.A.,0,4.57,4.95,,896
Non-Hodgkin lymphoma,34,218,N.A.,0,3.62,4.09,,740
Pancreas,13,218,N.A.,0,3.25,3.82,,692
Ovary,25,218,N.A.,0,3.23,3.65,,331
" Brain, central nervous system",31,218,N.A.,0,2.73,2.96,,537
Corpus uteri,24,218,N.A.,0,2.15,2.46,,223
Kidney,29,218,N.A.,0,1.2,1.33,,241
Multiple myeloma,35,218,N.A.,0,1.19,1.33,,241
Bladder,30,218,N.A.,0,1.1,1.42,,258
Thyroid,32,218,N.A.,0,1,1.19,,216
Oesophagus,6,218,N.A.,0,0.78,0.96,,174
Melanoma of skin,16,218,N.A.,0,0.73,0.87,,158
Gallbladder,12,218,N.A.,0,0.63,0.73,,132
Testis,28,218,N.A.,0,0.54,0.6,,54
"Lip, oral cavity",1,218,N.A.,0,0.51,0.61,,110
Penis,26,218,N.A.,0,0.46,0.5,,45
Larynx,14,218,N.A.,0,0.42,0.48,,87
Hodgkin lymphoma,33,218,N.A.,0,0.35,0.39,,71
Vulva,21,218,N.A.,0,0.23,0.31,,28
Oropharynx,3,218,N.A.,0,0.19,0.22,,39
Salivary glands,2,218,N.A.,0,0.13,0.17,,30
Mesothelioma,18,218,N.A.,0,0.1,0.12,,22
Nasopharynx,4,218,N.A.,0,0.08,0.09,,17
Kaposi sarcoma,19,218,N.A.,0,0.08,0.1,,18
Vagina,22,218,N.A.,0,0.07,0.1,,9
Hypopharynx,5,218,N.A.,0,0.03,0.04,,7
Other specified cancers,37,218,N.A.,0,5.14,6.19,,1122
Unspecified sites,38,218,N.A.,0,2.72,3.19,,578
