radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,Prob_B,Prob_M
22.43,14.19,128.0,2300.43,0.1,0.22,0.31,0.06,0.23,0.09,0.476,0.524
23.35,17.79,182.8,1330.84,0.07,0.05,0.36,0.01,0.17,0.07,0.652,0.348
18.47,27.33,151.99,1405.77,0.06,0.17,0.05,0.02,0.28,0.07,0.948,0.052
11.94,38.57,57.12,1339.11,0.08,0.31,0.03,0.06,0.23,0.08,0.053,0.947
19.61,37.11,50.26,1409.86,0.06,0.19,0.12,0.02,0.29,0.07,0.056,0.944
21.32,27.15,90.42,295.19,0.15,0.14,0.23,0.04,0.27,0.06,0.076,0.924
15.43,20.8,84.53,1839.62,0.08,0.32,0.01,0.09,0.24,0.06,0.236,0.764
23.33,31.28,131.98,964.19,0.08,0.25,0.08,0.01,0.25,0.08,0.169,0.831
15.73,31.83,184.79,1401.06,0.11,0.09,0.39,0.04,0.12,0.09,0.623,0.377
15.3,11.95,181.31,2202.82,0.1,0.28,0.37,0.16,0.24,0.08,0.899,0.101
20.63,36.13,177.53,664.01,0.07,0.1,0.14,0.13,0.27,0.06,0.289,0.711
21.99,16.31,88.62,2232.12,0.15,0.17,0.41,0.04,0.2,0.08,0.888,0.112
22.25,27.68,102.04,1513.97,0.06,0.1,0.4,0.0,0.24,0.06,0.55,0.45
21.79,31.45,163.24,267.48,0.09,0.16,0.13,0.01,0.22,0.07,0.874,0.126
27.91,10.74,146.33,1039.21,0.13,0.32,0.27,0.06,0.2,0.08,0.692,0.308
19.51,13.71,44.14,924.55,0.13,0.31,0.08,0.07,0.25,0.08,0.126,0.874
13.84,14.56,155.19,2172.49,0.08,0.23,0.41,0.06,0.18,0.06,0.43,0.57
24.32,16.48,62.77,512.13,0.06,0.1,0.25,0.08,0.16,0.06,0.914,0.086
