Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
"Lip, oral cavity",1,900,N.A.,2,1,1.07,1.47,,57630
Salivary glands,2,900,N.A.,2,1,0.18,0.25,,9953
Oropharynx,3,900,N.A.,2,1,0.18,0.24,,9487
Nasopharynx,4,900,N.A.,2,1,0.39,0.5,,19378
Hypopharynx,5,900,N.A.,2,1,0.12,0.16,,6338
Oesophagus,6,900,N.A.,2,1,2.22,3.25,,126958
Stomach,7,900,N.A.,2,1,3.93,5.95,,232600
Colorectum,41,900,N.A.,2,1,6.5,10.33,,404244
Liver and intrahepatic bile ducts,11,900,N.A.,2,1,4.13,6.06,,236899
Gallbladder,12,900,N.A.,2,1,1.02,1.47,,57649
Pancreas,13,900,N.A.,2,1,3.53,5.62,,219820
Larynx,14,900,N.A.,2,1,0.23,0.33,,12975
"Trachea, bronchus and lung",15,900,N.A.,2,1,9.79,14.93,,584228
Melanoma of skin,16,900,N.A.,2,1,0.43,0.65,,25507
Mesothelioma,18,900,N.A.,2,1,0.13,0.19,,7289
Kaposi sarcoma,19,900,N.A.,2,1,0.13,0.14,,5540
Breast,20,900,N.A.,2,1,12.65,17.03,,666103
Vulva,21,900,N.A.,2,1,0.3,0.47,,18579
Vagina,22,900,N.A.,2,1,0.15,0.21,,8240
Cervix uteri,23,900,N.A.,2,1,7.08,8.92,,348874
Corpus uteri,24,900,N.A.,2,1,1.72,2.5,,97723
Ovary,25,900,N.A.,2,1,3.97,5.29,,206956
Kidney,29,900,N.A.,2,1,0.95,1.42,,55610
Bladder,30,900,N.A.,2,1,0.8,1.4,,54924
" Brain, central nervous system",31,900,N.A.,2,1,2.16,2.78,,108677
Thyroid,32,900,N.A.,2,1,0.53,0.77,,30266
Hodgkin lymphoma,33,900,N.A.,2,1,0.18,0.23,,9059
Non-Hodgkin lymphoma,34,900,N.A.,2,1,1.88,2.73,,106939
Multiple myeloma,35,900,N.A.,2,1,0.92,1.39,,54422
Leukaemia,36,900,N.A.,2,1,2.55,3.38,,132116
Other specified cancers,37,900,N.A.,2,1,3.32,4.58,,179157
Unspecified sites,38,900,N.A.,2,1,3.29,4.85,,189680
,20,900,,1,1,0,0,0,0
,21,900,,1,1,0,0,0,0
,22,900,,1,1,0,0,0,0
,23,900,,1,1,0,0,0,0
,24,900,,1,1,0,0,0,0
,25,900,,1,1,0,0,0,0
,26,900,,2,1,0,0,0,0
,27,900,,2,1,0,0,0,0
,28,900,,2,1,0,0,0,0
